period_folder,file_name,file_path,file_size_bytes,sheet_name,max_row,max_column,status,error
2018_02,consolidated_balance_of_commercial_banks_the_central_bank_of_the_republic_of_uzbekistan_71461_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\consolidated_balance_of_commercial_banks_the_central_bank_of_the_republic_of_uzbekistan_71461_html_fallback.xlsx,9267,raw_table_preserved,31,6,ok,
2018_02,consolidated_balance_of_commercial_banks_the_central_bank_of_the_republic_of_uzbekistan_71461_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\consolidated_balance_of_commercial_banks_the_central_bank_of_the_republic_of_uzbekistan_71461_html_fallback.xlsx,9267,raw_table_flat,32,6,ok,
2018_02,consolidated_balance_of_commercial_banks_the_central_bank_of_the_republic_of_uzbekistan_71461_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\consolidated_balance_of_commercial_banks_the_central_bank_of_the_republic_of_uzbekistan_71461_html_fallback.xlsx,9267,metadata,8,2,ok,
2018_02,information_on_commercial_bank_loans_by_economic_sectors_the_central_bank_of_the_republic_of_uzbekistan_71470_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\information_on_commercial_bank_loans_by_economic_sectors_the_central_bank_of_the_republic_of_uzbekistan_71470_html_fallback.xlsx,7623,raw_table_preserved,12,6,ok,
2018_02,information_on_commercial_bank_loans_by_economic_sectors_the_central_bank_of_the_republic_of_uzbekistan_71470_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\information_on_commercial_bank_loans_by_economic_sectors_the_central_bank_of_the_republic_of_uzbekistan_71470_html_fallback.xlsx,7623,raw_table_flat,13,6,ok,
2018_02,information_on_commercial_bank_loans_by_economic_sectors_the_central_bank_of_the_republic_of_uzbekistan_71470_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\information_on_commercial_bank_loans_by_economic_sectors_the_central_bank_of_the_republic_of_uzbekistan_71470_html_fallback.xlsx,7623,metadata,8,2,ok,
2018_02,information_on_major_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71466_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\information_on_major_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71466_html_fallback.xlsx,7372,raw_table_preserved,6,9,ok,
2018_02,information_on_major_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71466_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\information_on_major_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71466_html_fallback.xlsx,7372,raw_table_flat,7,9,ok,
2018_02,information_on_major_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71466_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\information_on_major_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71466_html_fallback.xlsx,7372,metadata,8,2,ok,
2018_02,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71474_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71474_html_fallback.xlsx,7413,raw_table_preserved,9,7,ok,
